A
Abe 阿部。安部。安倍。阿倍。  
Motooka 本冈。元冈。  
Motoori 本居。  
Motora 元良。  
Motosawa 元泽。  
Motoshiro 本城。  
Motosugi 本杉。  
Mototani 本谷。元谷。  
Motoya 本谷。  
Motoyama 本山。元山。  
Motoyoshi 本吉。元吉。  
Motozawa 本泽。  
Motsugai 物外。  
Mozai 茂在。  
Mozume 物集。  
Mu 牟。  
Muchaku 无著。  
Mudaguchi 牟田口。  
Muguruma 六车。  
Mukai 向井。向。迎。  
Mukaibo 向坊。  
Mukaida 向田。  
Mukaihara 向原。  
Mukaishima 向岛。  
Mukajiri 向后。  
Mukasa 武笠。向笠。六笠。  
Mukawa 武川。  
Mukayama 向山。  
Muku 椋。  
Mukunashi 椋梨。  
Mukunoki 椋木。  
Munakata 宗像。宗形。栋方。宗方。  
Mune 宗。  
Munekata 宗像。  
Munekawa 宗川。  
Munemura 宗村。  
Muneta 宗田。  
Mura 村。  
Murabayashi 村林。  
Murabe 村部。  
Muragaki 村垣。  
Muragishi 村岸。  
Muraguchi 村口。  
Murahashi 村桥。  
Murai 村井。  
Muraishi 村石。  
Muraji 连。  
Murakami 村上。  
Murakawa 村川。  
Muraki 村木。  
Murakoshi 村越。  
Murakoso 村社。  
Muramatsu 村松。  
Muramoto 村本。村元。  
Muranaka 村中。  
Muranishi 村西。  
Murano 村野。  
Muranushi 村主。  
Murao 村尾。  
Muraoka 村冈。  
Murasaki 村崎。紫。  
Murasawa 村泽。  
Murase 村濑。  
Murashima 村岛。  
Murashita 村下。  
Murasugi 村杉。  
Murata 村田。无量塔。  
Muratani 村谷。  
Muraya 村谷。  
Murayama 村山。  
Muro 室。  
Murobushi 室伏。  
Muroga 室贺。  
Murohashi 室桥。  
Muroi 室井。  
Muroki 室木。  
Muromachi 室町。  
Murooka 室冈。  
Murota 室田。  
Murotani 室谷。  
Murou 室生。  
Muroya 室谷。室屋。  
Musashi 武藏。  
Musha 武者。  
Mushakoji 武者小路。  
Mushanokoji 武者小路。  
Muta 牟田。  
Mutai 务台。  
Muto 武藤。  
Mutobe 六人部。  
Mutsu 陆奥。  
Myochin 明珍。 
Myojin 明神。  
 
 
N 

Nabe 锅。  
Nabei 锅井。  
Nabeshima 锅岛。  
Nabeta 锅田。  
Nabetani 锅谷。  
Nabeya 锅谷。  
Nabeyama 锅山。  
Nabika 并河。  
Nada 滩。名田。  
Nadao 滩尾。  
Naemura 苗村。  
Naga 长。  
Nagabe 长部。  
Nagabori 永堀。  
Nagae 长江。永江。  
Nagafuji 永藤。  
Nagahama 长滨。永滨。  
Nagahara 永原。长原。  
Nagahashi 长桥。  
Nagahata 长畑。  
Nagahiro 长广。  
Nagahori 长堀。  
Nagai 永井。长井。  
Nagaishi 永石。  
Nagakawa 永川。  
Nagaki 永木。  
Nagakubo 长久保。永久保。  
Nagakura 长仓。永仓。  
Nagamachi 长町。  
Nagamatsu 永松。长松。  
Nagami 永见。  
Nagamine 永峰。长峰。长岭。  
Nagamori 永森。长森。永盛。  
Nagamoto 永本。  
Nagamura 长村。  
Naganawa 长绳。  
Nagano 长野。永野。  
Naganuma 长沼。永沼。  
Nagao 长尾。永尾。  
Nagaoka 长冈。永冈。  
Nagara 长良。  
Nagasaka 长阪。永阪。  
Nagasaki 长崎。  
Nagasaku 永作。  
Nagasawa 长泽。永泽。  
Nagase 长濑。永濑。  
Nagashima 长岛。永岛。  
Nagasone 长曾祢。  
Nagasue 永末。  
Nagata 永田。长田。  
Nagatake 长竹。  
Nagatani 长谷。永谷。  
Nagato 长门。永户。  
Nagatomi 永富。  
Nagatomo 长友。  
Nagatsu 长津。  
Nagatsuka 长冢。长束。永冢。  
Nagatsuma 长妻。永妻。  
Nagawa 名川。南川。  
Nagaya 长谷。永谷。长屋。  
Nagayama 永山。长山。  
Nagayasu 永安。永易。长安。  
Nagayo 长与。  
Nagayoshi 永吉。  
Nagimoto 柳本。  
Nagira 柳乐。  
Nagoe 名越。  
Nagoshi 名越。  
Nagoya 名古屋。奈古屋。  
Nagumo 南云。  
Naito 内藤。  
Najima 名岛。  
Naka 中。仲。那珂。  
Nakabayashi 中林。  
Nakabe 中部。  
Nakabori 中堀。  
Nakachi 中地。  
Nakada 中田。仲田。  
Nakadai 中台。中内。中代。  
Nakadaira 中平。  
Nakade 中出。  
Nakado 中堂。  
Nakae 中江。  
Nakafuji 中藤。  
Nakagaki 中垣。  
Nakagami 中上。中神。  
Nakagawa 中川。仲川。中河。  
Nakagiri 中桐。  
Nakahama 中滨。  
Nakahara 中原。仲原。  
Nakahashi 中桥。  
Nakahata 中畑。  
Nakahigashi 中东。  
Nakahira 中平。  
Nakai 中井。仲井。中居。  
Nakaichi 中市。  
Nakaide 中出。  
Nakaie 中家。  
Nakaigawa 中井川。  
Nakaizumi 中泉。  
Nakaji 中路。  
Nakajima 中岛。  
Nakajo 中条。中城。仲条。  
Nakaki 中城。中木。  
Nakakita 中北。  
Nakakoji 中小路。  
Nakakoshi 中越。  
Nakakuchi 中口。  
Nakakuki 中久喜。中茎。  
Nakakura 中仓。  
Nakama 中马。中间。仲马。  
Nakamachi 中町。  
Nakamae 中前。  
Nakamaki 中牧。  
Nakamaru 中丸。仲丸。  
Nakamata 中俣。仲俣。  
Nakamatsu 中松。  
Nakamichi 中道。中路。  
Nakamigawa 中上川。  
Nakamizo 中沟。  
Nakamori 中森。  
Nakamoto 中本。中元。仲本。  
Nakamura 中村。仲村。  
Nakamuta 中牟田。  
Nakane 中根。  
Nakanishi 中西。仲西。  
Nakaniwa 中庭。  
Nakano 中野。仲野。中浓。  
Nakanoin 中院。  
Nakanoshima 中能岛。  
Nakao 中尾。仲尾。  
Nakaoka 中冈。  
Nakarada 半田。  
Nakarai 半井。  
Nakasa 仲佐。  
Nakasaki 中崎。  
Nakase 中濑。  
Nakashima 中岛。仲岛。  
Nakashiro 中城。  
Nakashita 中下。  
Nakashizu 中静。  
Nakasone 中曾根。仲曾根。  
Nakasono 中园。  
Nakasu 中须。  
Nakasugi 中杉。  
Nakasuji 中筋。  
Nakata 中多。中田。  
Nakatake 中武。  
Nakatani 中谷。仲谷。  
Nakato 中东。中藤。 
Nakatomi 中臣。中富。  
Nakatsu 中津。  
Nakatsubo 中坪。  
Nakatsugawa 中津川。  
Nakatsui 中津井。  
Nakatsuka 中冢。  
Nakatsukasa 中务。中司。  
Nakauchi 中内。  
Nakaue 中上。  
Nakauma 中马。  
Nakaura 中浦。  
Nakaya 中谷。中屋。仲谷。中矢。  
Nakayama 中山。仲山。  
Nakayasu 中安。  
Nakayoshi 仲吉。  
Nakazato 中里。仲里。  
Nakazawa 中泽。仲泽。  
Nakazone 仲宗根。  
Nakura 名仓。  
Namai 生井。  
Namaizawa 生井泽。  
Namatame 生田目。  
Namekata 生方。行方。生形。  
Namekawa 滑川。生川。行川。  
Nameki 行木。  
Namikoshi 浪越。  
Namioka 浪冈。  
Namisato 并里。  
Namita 波田。  
Namura 名村。  
Nanai 七井。  
Nanami 名波。那波。  
Nanao 七尾。  
Nanasato 七里。  
Nanasawa 七泽。  
Nanazato 七里。  
Nanba 难波。南波。南场。  
Nanbara 南原。  
Nanbata 南畑。  
Nanbo 南保。  
Nanbu 南部。  
Nanda 南田。  
Nangu 南宫。  
Nanjo 南条。  
Nankawa 南川。  
Nannichi 南日。  
Nanno 南野。  
Nanri 南里。  
Nanya 南谷。  
Nao 名尾。  
Naoe 直江。  
Naoi 直井。  
Naoki 直木。  
Naota 直田。  
Nara 奈良。  
Narabayashi 楢林。  
Narabe 奈良部。  
Narahara 楢原。奈良原。  
Narahashi 奈良桥。楢桥。  
Naraoka 奈良冈。  
Narasaki 楢崎。  
Narazaki 楢崎。  
Narikawa 成川。  
Narimatsu 成松。  
Narisawa 成泽。  
Narise 成濑。  
Narishima 成岛。鸣岛。  
Narita 成田。  
Narudomi 成富。  
Naruge 成毛。  
Narui 成井。  
Naruishi 成石。  
Narukawa 成川。  
Naruko 成子。  
Narumi 鸣海。  
Narumiya 成宫。鸣宫。  
Naruo 成尾。  
Naruoka 成冈。  
Naruse 成濑。鸣濑。  
Narushima 成岛。鸣岛。  
Narutomi 成富。  
Narutsuka 成冢。  
Naruyama 成山。  
Nashimoto 梨本。  
Nasu 那须。奈须。  
Nasuno 那须野。  
Natori 名取。  
Natsui 夏井。  
Natsuka 长束。  
Natsukawa 夏川。  
Natsume 夏目。  
Natsuyama 夏山。  
Nawa 名和。那波。  
Nawata 绳田。  
Naya 纳谷。纳屋。  
Nayuki 名雪。  
Nazuka 名冢。  
Neda 根田。  
Nedate 根立。  
Negami 根上。  
Negi 根来。根木。  
Negishi 根岸。  
Negoro 根来。  
Neishi 根石。  
Nejime 祢寝。  
Nemoto 根本。根元。  
Nemura 根村。  
Nezu 根津。祢津。  
Nie 贽。  
Nihei 二瓶。仁平。  
Nihira 仁平。  
Nii 新居。新。丹生。丹。二井。仁井。  
Niibe 新部。  
Niibori 新堀。  
Niida 仁井田。  
Niide 新出。  
Niihara 新原。  
Niijima 新岛。  
Niikawa 新川。  
Niiki 新城。新木。  
Niikuni 新国。  
Niikura 新仓。  
Niimi 新美。新见。新实。  
Niimiya 新宫。  
Niimoto 新本。  
Niimura 新村。  
Niina 新名。  
Niino 新野。新纳。  
Niinuma 新沼。  
Niiro 新纳。  
Niisato 新里。  
Niiseki 新关。  
Niita 仁井田。新井田。  
Niitani 新谷。  
Niitsu 新津。  
Niiya 新谷。新屋。新家。  
Niiyama 新山。  
Niizeki 新关。  
Niizuma 新妻。  
Nijo 二条。  
Nikaido 二阶堂。  
Nikami 二神。  
Nikamoto 天下。  
Nikawa 二川。  
Niki 仁木。二木。  
Nimiya 二宫。  
Nimura 二村。仁村。  
Ninagawa 蜷川。  
Ninomiya 二宫。  
Nirasawa 韮泽。  
Nire 仁礼。  
Nirei 榆井。  
Nishi 西。  
Nishibata 西畑。  
Nishibayashi 西林。  
Niishibe 西部。  
Nishibori 西堀。  
Nishida 西田。  
Nishidate 西馆。  
Nishide 西出。  
Nishie 西江。  
Nishifuji 西藤。  
Nishigai 西贝。  
Nishigaki 西垣。  
Nishigami 西上。  
Nishigori 锦织。西郡。 
Nishiguchi 西口。  
Nishihama 西滨。  
Nishihara 西原。  
Nishihashi 西桥。  
Nishihata 西端。  
Nishihira 西平。  
Nishii 西井。  
Nishiike 西池。  
Nishiiri 西入。  
Nishijima 西岛。  
Nishikado 西门。  
Nishikata 西方。西形。西片。西潟。  
Nishikawa 西川。西河。  
Nishiki 西木。锦。  
Nishikubo 西久保。西洼。  
Nishimae 西前。  
Nishimaki 西卷。西牧。  
Nishimatsu 西松。  
Nishime 西铭。  
Nishimiya 西宫。  
Nishimori 西森。  
Nishimoto 西本。西元。  
Nishimura 西村。西邑。  
Nishina 仁科。  
Nishinaka 西中。  
Nishino 西野。  
Nishinomiya 西宫。  
Nishio 西尾。  
Nishioka 西冈。  
Nishisaka 西阪。  
Nishishiro 西城。  
Nishishita 西下。  
Nishitani 西谷。  
Nishitsunoi 西角井。  
Nishiuchi 西内。  
Nishiue 西上。  
Nishiumi 西海。  
Nishiura 西浦。  
Nishiwaki 西胁。  
Nishiya 西谷。  
Nishiyama 西山。  
Nishizaka 西阪。  
Nishizaki 西崎。  
Nishizawa 西泽。  
Nishizeko 西世古。  
Nishizono 西园。  
Nishizuka 西冢。  
Nissaka 日阪。  
Nita 仁田。  
Nito 二藤。仁藤。  
Nitobe 新渡户。  
Nitta 新田。仁田。二田。  
Nitto 日塔。  
Niu 丹生。  
Niwa 丹羽。丹波。  
Niwano 庭野。  
Niwata 庭田。  
Niwayama 庭山。  
Nobata 野畑。  
Nobe 野边。野部。  
Nobechi 野边地。  
Nobori 登。  
Noboru 升。  
Nobuhara 延原。信原。  
Nobukawa 信川。  
Nobuoka 信冈。  
Nobusawa 信泽。  
Nobuta 信田。信太。  
Nobutoki 信时。  
Nobuyama 延山。  
Nochi 野地。  
Noda 野田。  
Node 野手。  
Nodera 野寺。  
Nodomi 纳富。  
Nogami 野上。  
Nogawa 野川。  
Nogi 野木。乃木。  
Noguchi 野口。  
Nohagi 野荻。  
Nohara 野原。  
Nohira 野平。  
Noji 野路。  
Nojima 野岛。能岛。  
Nojiri 野尻。  
Noma 野间。  
Nomaguchi 野间口。  
Nomi 能见。能美。  
Nomichi 野路。  
Nomiya 野宫。  
Nomiyama 野见山。  
Nomizo 野沟。  
Nomizu 野水。  
Nomoto 野本。野元。  
Nomura 野村。能村。  
Nonaka 野中。  
Nonogaki 野野垣。  
Nonoguchi 野野口。  
Nonomiya 野宫。  
Nonomura 野野村。  
Nonoshita 野野下。  
Nonoyama 野野山。  
Nori 海苔。  
Norimatsu 乘松。  
Noritake 则武。乘竹。  
Noritsuki 法月。  
Noro 野吕。野路。  
Norose 野吕濑。  
Nosaka 野阪。  
Nose 能势。野濑。  
Noshi 熨斗。  
Noshiro 野城。能城。  
Noshita 野下。  
Nosho 纳所。  
Notani 纳谷。  
Noto 能登。  
Notomi 纳富。  
Notsu 野津。  
Nouchi 野内。  
Noya 纳谷。  
Noyama 野山。  
Nozaka 野阪。  
Nozaki 野崎。  
Nozawa 野泽。能泽。  
Nozoe 野添。野副。  
Nozokido 莅户。  
Nozu 野津。  
Nozue 野末。  
Nugaya 糠谷。  
Nukada 额田。  
Nukaga 额贺。  
Nukata 额田。  
Nukina 贯名。  
Nukiyama 拔山。  
Nukui 贯井。温井。  
Nukumi 温水。  
Numa 沼。沼间。  
Numabe 沼部。  
Numagami 沼上。  
Numaguchi 沼口。  
Numajiri 沼尻。  
Numakawa 沼川。  
Numakura 沼仓。  
Numano 沼野。  
Numao 沼尾。  
Numasaki 沼崎。  
Numasawa 沼泽。  
Numata 沼田。  
Nunami 沼波。  
Nunoi 布井。  
Nunokawa 布川。  
Nunome 布目。  
Nunomura 布村。  
Nunota 布田。  
Nunotani 布谷。  
Nuribe 漆部。  
O

 

Okudo 奥堂。  
Okugura 奥仓。  
Okuhara 奥原。  
Okuhira 奥平。  
Okui 奥井。  
Okuide 奥出。  
Okuizumi 奥泉。  
Okukawa 奥川。  
Okuma 大熊。大隈。  
Okumiya 奥宫。  
Okumoto 奥本。  
Okumura 奥村。  
Okunaka 奥中。  
Okuni 大国。  
Okunishi 奥西。  
Okuno 奥野。  
Okunomiya 奥宫。  
Okunuki 奥贯。  
Okura 大仓。大藏。  
Okuri 大栗。  
Okusa 大草。  
Okusawa 奥泽。  
Okushima 奥岛。  
Okusumi 奥住。  
Okutani 奥谷。  
Okutomi 奥富。  
Okuwaki 奥胁。  
Okuya 奥谷。  
Okuzu 奥津。  
Omachi 大町。  
Omae 大前。  
Omaeda 大前田。  
Omaru 大丸。  
Omata 小俣。  
Omatsu 尾松。大松。  
Omi 小见。尾见。大见。  
Omichi 大道。  
Ominami 大南。  
Ominato 小凑。大凑。  
Omine 小峰。  
Omino 小美浓。小美野。  
Omiwa 大三轮。大神。  
Omiya 大宫。  
Omiyama 小见山。  
Omoda 小茂田。  
Omodaka 泽泻。  
Omokawa 面川。  
Omomo 大桃。  
Omon 大门。  
Omori 大森。  
Omote 表。  
Omoto 尾本。大本。大元。  
Omukai 大向。  
Omura 小村。大村。  
Omuro 小室。大室。  
Onaga 大长。  
Onaka 小中。尾中。大中。大仲。  
Onakatomi 大中臣。  
Onari 大成。  
Onchi 恩地。远地。  
Onda 恩田。  
Ondori 雄。  
One 大根。  
Oneta 大根田。  
Onigawara 鬼瓦。  
Onijima 鬼岛。  
Onimaru 鬼丸。  
Onisawa 鬼泽。  
Onishi 尾西。大西。  
Onishiki 大锦。  
Oniwa 大庭。  
Onizuka 鬼冢。  
Ono 小野。尾野。大野。多。  
Onoda 小野田。斧田。大野田。  
Onodera 小野寺。  
Onoe 尾上。  
Onogata 绪方。  
Onogawa 小野川。  
Onogi 小野木。大野木。  
Onoguchi 小野口。  
Onojima 小野岛。  
Onomura 小野村。  
Onose 小野濑。  
Onoue 尾上。  
Onoyama 小野山。  
Onozaki 小野崎。  
Onozato 小野里。  
Onozawa 小野泽。  
Onozuka 小野冢。大野冢。  
Onuki 小贯。大贯。  
Onuma 小沼。大沼。  
Ooka 大冈。  
Oosa 大长。  
Ooto 大音。  
Oribe 织部。  
Orihara 折原。织原。  
Orihashi 折桥。  
Orii 折井。  
Orikasa 折笠。  
Orikuchi 折口。  
Orimo 折茂。织茂。  
Orimoto 折本。织本。  
Orita 织田。折田。  
Orito 折户。织户。  
Oriyama 折山。  
Orui 大类。  
Osa 长。  
Osabe 刑部。长部。  
Osabune 长船。  
Osada 长田。  
Osafune 长船。  
Osaka 小阪。逢阪。大阪。  
Osakabe 刑部。  
Osakai 小堺。  
Osakaya 大阪屋。  
Osaki 大崎。大前。  
Osako 大迫。  
Osaku 小作。大作。  
Osamura 长村。  
Osanai 小山内。长内。  
Osanami 长南。  
Osano 小佐野。  
Osaragi 大佛。  
Osatake 尾佐竹。  
Osato 大里。  
Osawa 大泽。  
Ose 小濑。尾濑。大濑。  
Oseki 大关。  
Oseko 大迫。  
Oshiba 小柴。大柴。大芝。  
Oshida 押田。忍田。  
Oshika 大鹿。  
Oshikawa 押川。  
Oshiki 押木。  
Oshikiri 押切。  
Oshikubo 押久保。  
Oshima 大岛。  
Oshimi 押见。  
Oshino 押野。  
Oshio 押尾。大盐。  
Oshiro 大城。  
Oshita 大下。  
Oshitani 押谷。  
Oshitari 忍足。  
Oshiya 押谷。  
Oshiyama 押山。  
Osoegawa 小副川。  
Osone 大曾根。  
Osuga 大须贺。大菅。  
Osugi 大杉。  
Osumi 大隅。大角。大住。  
Ota 太田。多田。大田。  
Otabe 小田部。  
Otagaki 太田垣。大田垣。  
Otagi 爱宕。  
Otagiri 小田切。  
Otaguro 大田黑。  
Otahara 大田原。太田原。  
Otaka 大高。  
Otakasaka 大高坂。  
Otake 小竹。大竹。大武。大岳。  
Otani 小谷。尾谷。男谷。大谷。  
Otawa 小多和。大多和。  
Ote 大手。  
Otera 大寺。  
Oto 大户。大藤。  
Otobe 乙部。  
Otoda 音田。  
Otoguro 乙黑。  
Otohata 乙幡。  
Otoku 大德。  
Otomi 大富。  
Otomo 大友。大伴。  
Otono 音野。  
Otori 大鸟。鸿。凤。  
Otorii 大鸟居。  
Ototake 乙竹。  
Otsu 大津。  
Otsube 乙部。  
Otsubo 大坪。  
Otsuka 大冢。  
Otsuki 大月。大筑。  
Otsuno 大角。  
Ouchi 大内。  
Oue 尾上。大上。大植。  
Oumi 近江。渡海。  
Oura 小浦。大浦。  
Owa 尾和。大轮。  
Owada 大和田。  
Owaki 大胁。  
Owashi 大鹫。  
Oya 大谷。大矢。大屋。大宅。大家。  
Oyabu 大薮。  
Oyagi 大八木。大柳。  
Oyake 小宅。大宅。  
Oyama 小山。尾山。大山。  
Oyamada 小山田。  
Oyanagi 小柳。大柳。  
Oyano 小谷野。  
Oyazaki 亲崎。  
Oyori 大寄。  
Oyoshi 大吉。  
Oyu 大汤。  
Ozaki 尾崎。小崎。  
Ozato 大利。  
Ozawa 小泽。尾泽。  
Ozeki 小关。尾关。大关。  
Ozone 小曾根。  
Ozono 小园。大园。  
Ozu 小津。大洲。  
Ozuka 小冢。  
Ozutsu 大炮。 
R 

Rai 赖。  
Raiden 雷电。  
Raku 乐。  
Rikihisa 力久。  
Rikiishi 力石。  
Rikitake 力武。  
Ro 卢。  
Rokkaku 六角。  
Rokubutsu 六物。  
Rokugawa 六川。  
Rokugo 六乡。  
Roppongi 六本木。  
Royama 蜡山。  
Rusu 留守。  
Ryokado 两角。  
Ryoki 领木。  
Ryu 龙。刘。柳。  
Ryujin 龙神。  
Ryuno 龙野。  
Ryuta 龙田。  
Ryutanji 龙胆寺。  
Ryuzaki 龙崎。  
Ryuzoji 龙造寺。 
S 

Sabashi 佐桥。  
Saburi 佐分利。  
Sada 佐田。  
Sadakata 定方。贞方。  
Sadano 佐田野。  
Sado 佐渡。  
Saegusa 三枝。  
Saeki 佐伯。  
Saga 佐贺。嵯峨。  
Sagae 寒河江。  
Sagara 相良。相乐。  
Sagawa 佐川。寒川。  
Sagayama 嵯峨山。  
Sagi 鹭。  
Sagitani 鹭谷。  
Sagoya 佐乡屋。  
Sahara 佐原。  
Saheki 佐伯。  
Sai 佐井。  
Saida 细田。齐田。  
Saigo 西乡。  
Saigusa 三枝。  
Saihara 西原。  
Saijo 西条。  
Saika 杂贺。西河。  
Saikai 西海。  
Saikan 西涧。  
Saikawa 西川。齐川。  
Saiki 齐木。才木。细木。  
Saiko 西光。  
Saionji 西园寺。  
Saisho 税所。  
Saishu 最首。  
Saita 才田。  
Saito 齐藤。西藤。西东。  
Saizawa 西泽。  
Saji 佐治。  
Sajima 佐岛。  
Saka 阪。  
Sakaba 阪场。  
Sakabe 阪部。  
Sakagami 阪上。  
Sakagawa 阪川。  
Sakaguchi 阪口。  
Sakahara 阪原。  
Sakahira 阪平。  
Sakai 酒井。堺。阪井。境。逆井。左海。佐贝。  
Sakaibe 阪合部。境部。  
Sakaida 境田。酒井田。  
Sakaino 境野。  
Sakairi 阪入。  
Sakaizumi 酒泉。  
Sakaki 榊。阪木。彭城。  
Sakakibara 榊原。  
Sakakida 榊田。  
Sakakura 阪仓。  
Sakama 阪间。  
Sakamaki 阪卷。酒卷。阪牧。  
Sakamoto 阪本。阪元。酒本。  
Sakamura 阪村。  
Sakana 鱼。  
Sakanaka 阪中。  
Sakane 阪根。  
Sakanishi 阪西。  
Sakaniwa 阪庭。  
Sakano 阪野。  
Sakanoue 阪上。  
Sakarai 逆井。  
Sakasai 逆井。  
Sakashita 阪下。  
Sakata 阪田。酒田。  
Sakatani 阪谷。  
Sakato 阪户。  
Sakauchi 阪内。  
Sakaue 阪上。  
Sakawada 佐川田。  
Sakayama 阪山。  
Sakayori 酒寄。阪寄。  
Sakazaki 阪崎。  
Sakazume 阪诘。阪爪。  
Saketa 酒田。  
Saki 前。  
Sakihama 崎滨。  
Sakihara 崎原。  
Sakikubo 崎久保。  
Sakima 佐喜真。  
Sakimoto 崎本。  
Sakimura 崎村。  
Sakisaka 向阪。  
Sakita 崎田。  
Sakiyama 崎山。前山。先山。  
Sakka 目。  
Sako 佐古。迫。左古。  
Sakoda 迫田。  
Sakomizu 迫水。  
Sakon 左近。  
Sakonji 左近司。  
Sakota 佐古田。  
Sakuma 佐久间。作间。  
Sakumoto 作本。  
Sakura 佐仓。樱。  
Sakuraba 樱庭。  
Sakurada 樱田。  
Sakuragawa 樱川。  
Sakuragi 樱木。  
Sakurai 樱井。  
Sakuramoto 樱本。  
Sakuraniwa 樱庭。  
Sakuraoka 樱冈。  
Sakuratani 樱谷。  
Sakurauchi 樱内。  
Sakurayama 樱山。  
Sakurazawa 樱泽。  
Sakusabe 作左部。  
Sakuta 作田。  
Sakuyama 作山。  
Sakyo 佐京。  
Samata 佐俣。  
Samejima 鲛岛。  
Sameshima 鲛岛。  
Sami 佐味。  
Samukawa 寒川。  
Sanada 真田。  
Sanae 早苗。  
Sanaki 真木。  
Sanda 三田。  
Sanekata 实方。  
Sanekawa 实川。  
Sanemitsu 实光。  
Saneto 实藤。  
Sangu 三宫。山宫。  
Sanjo 三条。山条。  
Sankawa 三川。  
Sanmiya 三宫。  
Sanmon 山门。  
Sanno 三野。  
Sannohe 三户。  
Sannomiya 三宫。  
Sano 佐野。狭野。佐纳。  
Sanpei 三瓶。  
Santa 三田。  
Santo 山藤。山东。  
Sanuki 佐贯。赞岐。  
Sanya 三谷。山谷。三矢。山家。  
Saotome 早乙女。五月女。  
Sarashina 更科。  
Saratani 更谷。  
Saruhashi 猿桥。  
Saruta 猿田。  
Sarutani 猿谷。  
Saruwatari 猿渡。  
Saruya 猿谷。  
Saruyama 猿山。  
Sasa 篠。佐佐。乐乐。笹-- 单一个字。  
Sasabe 笹部。  
Sasada 细田。笹田。  
Sasae 细江。  
Sasagawa 笹川。  
Sasage 捧。  
Sasagi 佐佐木。  
Sasago 笹子。  
Sasagusa 三枝。  
Sasahara 笹原。  
Sasai 笹井。笹生。佐佐井。  
Sasajima 笹岛。  
Sasaki 佐佐木。笹木。  
Sasakibara 佐佐木原。  
Sasakura 笹仓。  
Sasama 笹间。  
Sasame 笹目。  
Sasamori 笹森。  
Sasamoto 笹本。  
Sasamura 笹村。  
Sasano 笹野。佐佐野。  
Sasanuma 笹沼。  
Sasao 笹尾。  
Sasaoka 笹冈。小砂丘。  
Sasatani 笹谷。  
Sasaya 笹谷。  
Sasayama 笹山。细山。  
Sasazaki 笹崎。  
Sasazawa 笹泽。  
Sase 佐濑。  
Sashida 指田。  
Sashihara 指原。  
Sasho 佐生。  
Sassa 佐佐。  
Saso 佐宗。  
Sasuda 指田。  
Sasuga 流石。  
Sata 佐田。佐多。  
Satake 佐竹。佐武。  
Sataku 沙宅。  
Satani 佐谷。  
Sato 里。佐藤。左藤。砂糖。  
Satoi 里井。  
Satokawa 里川。  
Satomi 里见。  
Satomura 里村。  
Satonaka 里中。  
Satoyoshi 里吉。  
Satsuka 佐冢。属。  
Satsuma 萨摩。  
Satta 萨埵。  
Sauta 左右田。  
Sawa 泽。  
Sawabe 泽边。泽部。  
Sawada 泽田。  
Sawafuji 泽藤。  
Sawaguchi 泽口。  
Sawahata 泽畑。  
Sawai 泽井。  
Sawaki 泽胁。  
Sawamoto 泽本。  
Sawamura 泽村。  
Sawano 泽野。  
Sawanobori 泽登。  
Sawara 佐原。  
Sawasaki 泽崎。  
Sawatani 泽谷。  
Sawatari 猿渡。  
Sawato 泽登。  
Sawayama 泽山。  
Sawayanagi 泽柳。  
Sawazumi 泽住。  
Sayama 佐山。  
Sebata 濑畑。  
Sebe 濑部。  
Sefuji 濑藤。  
Segawa 濑川。  
Seguchi 濑口。  
Seido 清藤。  
Seika 清家。  
Seikai 西海。青海。 
Seike 清家。  
Seimiya 清宫。  
Seino 清野。  
Seita 清田。  
Seizawa 清泽。  
Sejima 濑岛。  
Seki 关。石。尺。濑木。  
Sekido 关户。  
Sekigami 关上。  
Sekiguchi 关口。  
Sekihara 关原。  
Sekii 关井。  
Sekikawa 关川。  
Sekime 关目。  
Sekimizu 关水。  
Sekimoto 关本。  
Sekimura 关村。  
Sekine 关根。  
Sekino 关野。  
Sekioka 关冈。  
Sekishima 关岛。  
Sekita 关田。赤田。积田。  
Sekitani 关谷。  
Sekito 关户。石户。  
Sekiuchi 关内。  
Sekiya 关谷。关屋。关矢。  
Sekiyama 关山。  
Sekizaki 关崎。  
Sekizawa 关泽。  
Sekizuka 关冢。  
Seko 濑古。世古。迫。世耕。  
Sekota 迫田。  
Sema 濑间。  
Sena 濑名。  
Senaga 濑长。  
Senba 仙波。  
Senbara 千原。  
Senda 千田。仙田。  
Sendai 川内。  
Senga 千贺。  
Senge 千家。  
Sengoku 仙石。千石。  
Senkawa 泉川。  
Senno 千野。  
Seno 濑野。  
Senoo 妹尾。濑尾。  
Senuma 濑沼。  
Senzaki 先崎。千崎。  
Senzui 泉水。  
Seo 妹尾。濑尾。  
Sera 世良。濑良。  
Serei 世礼。  
Serikawa 芹川。  
Serita 芹田。  
Serizawa 芹泽。  
Seshita 濑下。  
Seta 濑田。  
Setani 濑谷。  
Seto 濑户。濑藤。  
Setogawa 濑户川。  
Setoguchi 濑户口。  
Setoyama 濑户山。  
Seya 濑谷。  
Seyama 濑山。  
Sezaki 濑崎。  
Shamoto 社本。  
Shiaku 盐饱。  
Shiba 芝。柴。斯波。司马。  
Shibachi 芝地。  
Shibagaki 柴垣。  
Shibahara 柴原。芝原。  
Shibaike 芝池。  
Shibaki 芝木。  
Shibamoto 芝本。柴本。  
Shibano 芝野。柴野。  
Shibanuma 柴沼。  
Shibata 柴田。芝田。新发田。  
Shibatani 柴谷。芝谷。  
